Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Cote d'Ivoire,0.46,2.16,0.05,0,18.83,0.13,0.64,2.55,0.88,0.27,0.02,0.18,1.21,0.38,0.26,15.55,0.53,0,1.63,0.84,47.84,4.95,0.64,9,19,0.11,0,0.11,0.01,26175000
Croatia,2.74,14.69,2.48,0,14.27,0.5,0.6,1.51,5.45,5.4,0,0.26,0.73,0.11,0.06,1.14,1.22,0,7.48,0.28,35.32,3.84,1.93,27.1,0,5.85,0.13,5.65,0.07,4020000
Cuba,0.98,7.61,0.62,0,19.61,0.47,0.15,3.21,4.3,1.97,0.03,0.1,0.85,2.6,0.01,3.46,0.06,0,7.6,0,42.4,2.71,1.28,26.7,0,0.28,0,0.23,0.05,11281000
Cyprus,1.68,12.87,0.71,0,15.39,0.59,0.86,1.93,5.98,4.57,0.63,0.13,1.01,0.54,0.08,0.99,1.03,0,4.49,0.4,37.15,7.44,1.51,22.6,5.6,2.62,0.02,0.17,2.43,1207000
Czechia,4.9,14.04,3.82,0,11.4,0.5,0.29,1.28,5.04,4.27,0.11,0.11,0.24,0.29,0.08,1.77,0.5,0,6.17,0.2,35.97,8.12,0.9,28.5,0,9.61,0.16,8.56,0.9,10716000
Denmark,2.42,17.75,5.05,0,13.38,0.96,0.95,1.58,5.01,5.44,0,0.33,0.31,0.1,0.19,1.66,0.89,0,7.14,0.5,32.26,2.91,1.17,21.3,0,3.46,0.04,3.31,0.12,5829000
Djibouti,0.13,3.71,0.28,0,27.89,0.07,0.15,0.78,1.49,1.59,0.28,0.13,0.11,2.39,0.21,0.56,0.21,0,6.18,0.09,46.29,6.25,1.21,12.2,18.9,0.6,0.01,0.59,0,988000
Dominica,1.43,10.94,0.93,0,11.38,0.15,1.04,5.83,4.77,3.91,0.25,0.14,1.43,0.71,0.48,5.98,0.59,0,6.96,0.02,39.06,2.97,1.04,28.2,6.2,0.17,0,0.15,0.02,72000
Dominican Republic,1.59,8.68,0.75,0,13.31,0.63,0.3,7.42,3.77,2.99,0.19,0.24,1.15,1.5,0.05,1.38,0.17,0,5.41,0.03,41.33,8.52,0.58,26.9,9.5,2.12,0.03,1.58,0.51,10500000
Ecuador,0.93,9.74,1.49,0,23.44,0.54,0.25,2.59,3.92,3.42,0.1,0.14,0.37,0.33,0.04,1.02,0.08,0,3.69,0.04,40.23,7.19,0.46,19.3,7.9,1.47,0.09,1.2,0.18,17511000
