Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Mexico,4.41,0.17,15.15,0.02,11.43,1.3,0.97,7.68,4.36,7.99,0.03,0.36,0.19,0.71,0.11,1.16,0.02,3.23,0,0.11,0.69,5.07,34.85,28.4,3.6,1.51,0.13,1.16,0.22,127792000
Mongolia,3.14,0.38,25.89,0,10.14,0.37,0.04,1.04,8.09,15.86,0.6,1.14,0.03,0.04,0,2.62,0.14,1.47,0,0.01,0.56,4.33,24.1,19.6,13.4,0.06,0,0.04,0.02,3361000
Montenegro,2.22,0.21,22.83,0,5.04,0.55,0.65,5.73,3.36,17.95,0.85,0.11,0.09,0.21,0.02,1.2,0.26,6.04,0,0.09,0.43,5,27.16,24.9,0,10.41,0.13,9.04,1.23,622000
Morocco,0.29,0.14,8.48,0,18.7,0.48,1.39,7.21,2.51,3.75,0.01,0.19,0.19,0.33,0.12,3.44,0.2,2.68,0,0.25,0.82,7.29,41.52,25.6,3.4,1.32,0.02,1.26,0.04,35952000
Mozambique,1.22,0.03,4.01,0,13.19,0.19,1.14,2.83,0.93,1.64,0.16,0.09,0.13,1.28,0,22.29,0.11,1.06,0,0.2,0.75,2.77,45.99,6,27.9,0.14,0,0.09,0.05,31166000
Myanmar,0.22,0.18,13.52,0,16.76,0.46,4.04,4.03,4.98,3.63,0.34,0.23,1.1,1.28,0.22,1.45,0.23,2.86,0,0.29,0.63,7.07,36.48,5.7,10.6,0,0,0,0,54704000
Namibia,5.47,0.11,9.61,0.01,9.92,0.12,1.02,3.13,2.68,5.45,0.72,0.22,0.08,0.73,0.13,12.82,0.09,3.98,0,0.01,0.95,2.36,40.38,15,27.3,1.37,0.01,1.31,0.04,2541000
Nepal,0.33,0.03,5.44,0,18.15,0.14,0.21,4.74,0.98,3.92,0.06,0.15,0.06,0.91,0.42,6.05,0.03,0.55,3.07,0.1,0.82,9.28,44.56,3.8,8.7,0.91,0.01,0.89,0.01,29996000
Netherlands,4.39,0.33,24.3,0.01,4.97,0.75,1.15,4.92,4.01,18.01,0,0.04,0.11,0.09,0.06,4.26,0.29,2.34,0,0.16,0.85,3.26,25.7,23.1,0,5.82,0.08,0.08,5.66,17467000
New Caledonia,5.04,0.08,11.78,0.08,8.58,0.75,2.04,5.59,5.87,2.77,3.66,0.2,2.3,0.13,0.05,2.56,0.17,3.19,0,0.04,1.32,5.59,38.22,0,7.1,0,0,0,0,295000
New Zealand,5.22,0.74,17.58,0.02,7.75,0.71,1.68,4.02,6.84,7.46,0,0.13,0.33,0.24,0.05,3.37,0.24,3.82,0.01,0.15,0.54,6.69,32.42,32,0,0.05,0,0.04,0,4987000
Nicaragua,1.72,0.08,13.15,0,16.81,0.55,0.66,3.84,3.1,8.55,0.67,0.21,0.34,1.36,0.01,1.91,0.01,5.7,0,0,0.92,3.58,36.84,21.8,17,0.1,0,0.06,0.03,6596000
Niger,0.06,0.12,7.24,0,22.28,0.02,0.2,2.55,1.27,5.42,0.07,0.2,1.48,3.48,0.08,1.35,0.03,0.37,0,0,0.4,10.61,42.76,4.7,16.5,0.02,0,0.02,0,24189000
Nigeria,4,0.02,1.74,0,10.92,0.2,0.72,4.43,0.57,0.17,0.04,0.06,0.48,0.83,0.17,19.53,0.01,0.65,0,0.08,0.86,6.26,48.26,7.8,13.4,0.07,0,0.05,0.01,206140000
North Macedonia,1.9,0.38,12.06,0,7.39,0.28,0.35,5.09,2.07,8.8,0.3,0.18,0.33,0.28,0.13,3.68,0.25,2.91,0,0.18,0.95,14.55,37.93,23.9,3.2,4.55,0.14,4.03,0.38,2080000
